"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-DC)"
"80014200000015","Nodes","15","21.000000","42.981389","DDS demands","Known Flow","453553.618155","252433.255545","","0.000000","","","","-19.929999","","","","-17.821762","-19.929999","","","","","","D1 PROFILE","","",""
"80014200000856","Nodes","856","21.000000","43.297626","Default Known Flow Node","Known Flow","453956.652762","252468.073262","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"80014200000220","Nodes","220","21.000000","43.094670","DDS demands","Known Flow","451955.537137","252966.844044","","0.000000","","","","-20.879998","","","","-18.671268","-20.879998","","","","","","D1 PROFILE","","",""
"80014200000221","Nodes","221","21.000000","43.077968","DDS demands","Known Flow","451934.559188","252967.339220","","0.000000","","","","-3.349999","","","","-2.995629","-3.349999","","","","","","D1 PROFILE","","",""
"80014200000151","Nodes","151","21.000000","36.415401","DDS demands","Known Flow","453335.164513","252963.013043","","0.000000","","","","-5.349999","","","","-4.784065","-5.349999","","","","","","D1 PROFILE","","",""
"80014200000280","Nodes","280","21.000000","40.009941","DDS demands","Known Flow","453425.440537","252618.065950","","0.000000","","","","-2.959999","","","","-2.646885","-2.959999","","","","","","D1 PROFILE","","",""
"80014200000285","Nodes","285","21.000000","40.027062","DDS demands","Known Flow","453447.941182","252614.617762","","0.000000","","","","-1.139999","","","","-1.019408","-1.139999","","","","","","D1 PROFILE","","",""
"80014200000319","Nodes","319","21.000000","40.017072","DDS demands","Known Flow","453445.748543","252578.440939","","0.000000","","","","-1.840000","","","","-1.645360","-1.840000","","","","","","D1 PROFILE","","",""
"80014200000150","Nodes","150","21.000000","36.377314","DDS demands","Known Flow","453365.376851","252923.466857","","0.000000","","","","-9.609999","","","","-8.593433","-9.609999","","","","","","D1 PROFILE","","",""
"80014200000152","Nodes","152","21.000000","36.101108","DDS demands","Known Flow","453345.554515","252855.690014","","0.000000","","","","-7.750000","","","","-6.930188","-7.750000","","","","","","D1 PROFILE","","",""
